id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,household_income
0,WESTWOOD,New Jersey,NJ,27300.0,44.2,2.76,52114.0,59705.0,59705.0
1,WOODCLIFF LAKE,New Jersey,NJ,5868.0,46.7,2.81,59018.0,82266.0,82266.0
2,WHARTON,New Jersey,NJ,10544.0,38.9,2.75,38218.0,35589.0,35589.0
3,WHIPPANY,New Jersey,NJ,9060.0,45.9,2.62,49560.0,51214.0,51214.0
4,WHITEHOUSE STATION,New Jersey,NJ,9359.0,48.5,2.5,59481.0,75120.0,75120.0
5,WOODBRIDGE,New Jersey,NJ,19511.0,37.4,2.69,36519.0,34906.0,34906.0
6,WYCKOFF,New Jersey,NJ,17231.0,44.5,2.88,54797.0,71211.0,71211.0
7,BRONX,New York,NY,1458572.0,34.99,2.82,23442.44,21725.0,21725.0
8,NEW YORK,New York,NY,1643736.0,37.0,2.1,61913.91,80353.47,80353.47
9,BELMONT,Massachusetts,MA,25940.0,41.6,2.64,55368.0,61082.0,61082.0
10,BROOKLINE,Massachusetts,MA,50887.0,34.35,2.31,53303.0,64490.5,64490.5
11,LEXINGTON,Massachusetts,MA,33339.0,45.1,2.8,70267.5,74418.0,74418.0
12,NEEDHAM,Massachusetts,MA,20128.0,44.6,2.76,57922.0,75482.0,75482.0
13,NEEDHAM HEIGHTS,Massachusetts,MA,10301.0,41.5,2.8,55308.0,61665.0,61665.0
14,NEWTON,Massachusetts,MA,12465.0,42.1,2.49,52967.0,66281.0,66281.0
15,NEWTON CENTER,Massachusetts,MA,19473.0,42.8,2.63,61966.0,78776.0,78776.0
16,NEWTONVILLE,Massachusetts,MA,9911.0,40.0,2.65,60401.0,61840.0,61840.0
17,NEWTON HIGHLANDS,Massachusetts,MA,7214.0,43.5,2.69,68365.0,72223.0,72223.0
18,NEWTON LOWER FALLS,Massachusetts,MA,1520.0,51.6,2.29,46528.0,67438.0,67438.0
19,NEWTON UPPER FALLS,Massachusetts,MA,3155.0,43.3,2.46,49225.0,50881.0,50881.0
20,WEST NEWTON,Massachusetts,MA,12112.0,43.2,2.77,61689.0,72185.0,72185.0
21,AUBURNDALE,Massachusetts,MA,8568.0,36.9,2.51,33946.0,50357.0,50357.0
22,CHESTNUT HILL,Massachusetts,MA,22105.0,23.5,2.39,22175.0,53414.0,53414.0
23,WABAN,Massachusetts,MA,5568.0,47.0,2.84,92464.0,96955.0,96955.0
24,WALTHAM,Massachusetts,MA,62812.0,34.6,2.33,36109.0,39661.33,39661.33
25,WATERTOWN,Massachusetts,MA,34715.0,38.4,2.26,48877.0,50078.0,50078.0
27,WELLESLEY HILLS,Massachusetts,MA,16309.0,36.2,3.01,51852.0,86459.0,86459.0
28,WELLESLEY,Massachusetts,MA,11015.0,43.5,2.61,61776.0,81866.0,81866.0
29,WESTON,Massachusetts,MA,12027.0,44.4,2.97,62336.0,98310.0,98310.0
30,BRAINTREE,Massachusetts,MA,37082.0,41.9,2.61,41985.0,40501.0,40501.0
31,MILTON,Massachusetts,MA,27527.0,38.7,2.86,45938.0,52958.0,52958.0
32,QUINCY,Massachusetts,MA,93824.0,40.13,2.34,37935.67,39758.0,39758.0
33,WEYMOUTH,Massachusetts,MA,15301.0,39.2,2.39,38476.0,40154.0,40154.0
34,EAST WEYMOUTH,Massachusetts,MA,15146.0,41.7,2.43,31533.0,34349.0,34349.0
