0,Prairie Ridge,WA,Washington,Pierce,47.1443,-122.1408,1349.8
1,Edison,WA,Washington,Skagit,48.5602,-122.4311,127.4
2,Packwood,WA,Washington,Lewis,46.6085,-121.6702,213.9
3,Wautauga Beach,WA,Washington,Kitsap,47.5862,-122.5482,261.7
4,Harper,WA,Washington,Kitsap,47.5207,-122.5196,342.1
5,Telma,WA,Washington,Chelan,47.8432,-120.8157,1.4
6,Kahlotus,WA,Washington,Franklin,46.6436,-118.5566,156
7,Mondovi,WA,Washington,Lincoln,47.6813,-118.0164,9.4
8,Washtucna,WA,Washington,Adams,46.7539,-118.3104,108
9,Pleasant Hill,WA,Washington,King,47.6154,-121.9096,25.8
10,Toledo,WA,Washington,Lewis,46.4412,-122.8494,708
11,Wabash,WA,Washington,King,47.2429,-122.0576,56.2
12,Renton,WA,Washington,King,47.4757,-122.1904,1663
13,Chehalis,WA,Washington,Lewis,46.6649,-122.966,523
14,Central Valley,WA,Washington,Kitsap,47.6632,-122.6499,157.5
15,Lake City,WA,Washington,Pierce,47.1487,-122.5512,1944.4
16,Megler,WA,Washington,Pacific,46.2509,-123.8576,9.9
17,Alder,WA,Washington,Pierce,46.7872,-122.2666,14.4
18,Ronald,WA,Washington,Kittitas,47.2338,-121.0335,187.8
19,Belvedere,WA,Washington,Okanogan,48.0499,-118.985,4.6
20,Waverly,WA,Washington,Spokane,47.338,-117.2313,102
21,Turner Corner,WA,Washington,Snohomish,47.8045,-122.1435,161
22,Lofall,WA,Washington,Kitsap,47.8113,-122.6564,260.6
23,Kennydale,WA,Washington,King,47.5207,-122.2068,2263.7
24,Easton,WA,Washington,Kittitas,47.2405,-121.1733,122.5
25,Navy Yard City,WA,Washington,Kitsap,47.5508,-122.6654,1659.8
26,Mercer Island,WA,Washington,King,47.5624,-122.2265,1535
27,Lynnwood,WA,Washington,Snohomish,47.8285,-122.3034,1873
28,Coulee City,WA,Washington,Grant,47.6123,-119.289,243
29,Douglas,WA,Washington,Douglas,47.6212,-120.0048,16.4
30,Centralia,WA,Washington,Lewis,46.7226,-122.9695,875
31,Colbert,WA,Washington,Spokane,47.8266,-117.3419,115.6
32,Bryn Mawr,WA,Washington,King,47.5034,-122.2329,2502.5
33,Silverdale,WA,Washington,Kitsap,47.6663,-122.6828,595.7
34,Lyle,WA,Washington,Klickitat,45.6956,-121.2805,579.9
35,Malott,WA,Washington,Okanogan,48.2919,-119.6954,155.5
36,Mountlake Terrace,WA,Washington,Snohomish,47.7921,-122.3077,2015
37,Ilwaco,WA,Washington,Pacific,46.3099,-124.0417,170
38,Fairwood,WA,Washington,King,47.4467,-122.143,1858.6
39,Warm Beach,WA,Washington,Snohomish,48.1649,-122.3442,693
40,Thomas,WA,Washington,King,47.3537,-122.229,158.9
41,Parker,WA,Washington,Yakima,46.5022,-120.4668,14.8
42,Steptoe,WA,Washington,Whitman,47.0075,-117.3502,90.9
43,Vail,WA,Washington,Thurston,46.8451,-122.6562,106.3
44,Magnolia Beach,WA,Washington,King,47.382,-122.4832,182.7
45,Lakeview,WA,Washington,Pierce,47.1593,-122.4982,2782.1
46,Shaw Island,WA,Washington,San Juan,48.5843,-122.9291,17
47,Oakesdale,WA,Washington,Whitman,47.1304,-117.2465,161
48,Rosburg,WA,Washington,Wahkiakum,46.3076,-123.6344,11.1
49,Seattle,WA,Washington,King,47.6217,-122.3238,3243
50,Onalaska,WA,Washington,Lewis,46.5782,-122.7112,462
51,George,WA,Washington,Grant,47.0847,-119.8601,143
52,Index,WA,Washington,Snohomish,47.8214,-121.556,340
53,Winchester,WA,Washington,Grant,47.249,-119.7198,16.7
54,Chelatchie,WA,Washington,Clark,45.9279,-122.3795,20.2
55,Allentown,WA,Washington,King,47.4943,-122.2762,1653.6
56,Novelty,WA,Washington,King,47.709,-121.9846,12
57,Rosalia,WA,Washington,Whitman,47.2365,-117.3762,354
58,Richmond Beach,WA,Washington,King,47.7695,-122.3901,2048.9
59,Lakota,WA,Washington,King,47.3329,-122.3723,526.2
60,Liberty Lake,WA,Washington,Spokane,47.6687,-117.1031,579
61,Airway Heights,WA,Washington,Spokane,47.6464,-117.5802,500
62,Reardan,WA,Washington,Lincoln,47.67,-117.8778,447
63,Silvana,WA,Washington,Snohomish,48.2018,-122.2461,25.9
64,Brier,WA,Washington,Snohomish,47.7924,-122.2736,1196
65,Robe,WA,Washington,Snohomish,48.0973,-121.8135,38.7
66,Elk Plain,WA,Washington,Pierce,47.0448,-122.3671,105.5
67,Port Townsend,WA,Washington,Jefferson,48.1219,-122.7873,527
68,Ocean City,WA,Washington,Grays Harbor,47.0762,-124.1619,44.7
69,Boulevard Park,WA,Washington,King,47.5135,-122.3158,1426.1
70,Newhalem,WA,Washington,Whatcom,48.6737,-121.2473,20.9
71,Ford,WA,Washington,Stevens,47.9082,-117.8058,2.6
72,Waterville,WA,Washington,Douglas,47.648,-120.0707,521
73,Quinault,WA,Washington,Grays Harbor,47.467,-123.8455,33
74,Humptulips,WA,Washington,Grays Harbor,47.2491,-123.9348,49.8
75,Hamilton,WA,Washington,Skagit,48.5281,-121.9837,103
76,Oak Harbor,WA,Washington,Island,48.2965,-122.6331,928
77,Naches,WA,Washington,Yakima,46.727,-120.6941,462
78,Anacortes,WA,Washington,Skagit,48.4878,-122.6291,548
79,Kettle Falls,WA,Washington,Stevens,48.6055,-118.0612,551
80,Walnut Grove,WA,Washington,Clark,45.6769,-122.6072,1575
81,Salkum,WA,Washington,Lewis,46.5321,-122.6259,72.1
82,Cunningham,WA,Washington,Adams,46.8221,-118.8064,8.3
83,Irby,WA,Washington,Lincoln,47.3593,-118.8511,2
84,Electric City,WA,Washington,Grant,47.9222,-119.0476,195
85,Burbank,WA,Washington,Walla Walla,46.1991,-118.9728,640.5
86,Silver Lake,WA,Washington,Cowlitz,46.2973,-122.8107,45.1
87,Dash Point,WA,Washington,Pierce,47.313,-122.4153,1057.7
88,Woods Creek,WA,Washington,Snohomish,47.8821,-121.8982,173.1
89,McKenna,WA,Washington,Pierce,46.9366,-122.5501,337.2
90,Island View,WA,Washington,Benton,46.2393,-119.2233,584
91,Kalama,WA,Washington,Cowlitz,46.0115,-122.8369,346
92,Grandview,WA,Washington,Yakima,46.2432,-119.9082,686
93,Winthrop,WA,Washington,Okanogan,48.4719,-120.179,176
94,Maltby,WA,Washington,Snohomish,47.8026,-122.1044,80.4
95,Spangle,WA,Washington,Spokane,47.4297,-117.3813,322
96,Blanchard,WA,Washington,Skagit,48.5934,-122.4166,39.7
97,Artondale,WA,Washington,Pierce,47.3023,-122.6398,350.1
98,May Creek,WA,Washington,Snohomish,47.8555,-121.6742,301.6
99,Home,WA,Washington,Pierce,47.279,-122.7744,198.6
100,Vashon,WA,Washington,King,47.4122,-122.4726,386.3
101,Snoqualmie Falls,WA,Washington,King,47.5398,-121.8098,1.6
102,Laurier,WA,Washington,Ferry,48.9974,-118.2247,5.1
103,Quincy,WA,Washington,Grant,47.2342,-119.8512,572
104,Lake McMurray,WA,Washington,Skagit,48.3129,-122.2317,122.2
105,Martha Lake,WA,Washington,Snohomish,47.8479,-122.2327,2050.6
106,Ariel,WA,Washington,Cowlitz,45.9568,-122.5709,54.8
107,Loon Lake,WA,Washington,Stevens,48.0686,-117.6299,133.7
108,Thornton,WA,Washington,Whitman,47.1207,-117.3896,10.7
109,Starbuck,WA,Washington,Columbia,46.5184,-118.1251,234
110,Mirrormont,WA,Washington,King,47.4616,-121.9936,582.8
111,Kelso,WA,Washington,Cowlitz,46.1249,-122.8907,571
112,Meadowdale,WA,Washington,Snohomish,47.8584,-122.3161,450.5
113,Cottage Lake,WA,Washington,King,47.7465,-122.0755,880.7
114,Cheney,WA,Washington,Spokane,47.49,-117.5789,1086
115,Woodway,WA,Washington,Snohomish,47.7906,-122.3849,480
116,Lacey,WA,Washington,Thurston,47.0444,-122.7933,1139
117,Harrah,WA,Washington,Yakima,46.407,-120.5422,1119
118,Allyn,WA,Washington,Mason,47.3863,-122.8386,301.1
119,South Bend,WA,Washington,Pacific,46.6683,-123.8016,388
120,Barstow,WA,Washington,Ferry,48.7783,-118.1329,10.7
121,Tiger,WA,Washington,Pend Oreille,48.6916,-117.4077,26.3
122,Warden,WA,Washington,Grant,46.9682,-119.0512,394
123,Junction City,WA,Washington,Grays Harbor,46.9712,-123.7651,1.8
124,Blyn,WA,Washington,Clallam,48.0131,-122.9897,42.8
125,Lakebay,WA,Washington,Pierce,47.257,-122.7585,51.7
126,Tahuya,WA,Washington,Mason,47.3712,-123.0557,155
127,Selah,WA,Washington,Yakima,46.648,-120.5388,657
128,Kitsap Lake,WA,Washington,Kitsap,47.5829,-122.7085,571.9
129,Sultan,WA,Washington,Snohomish,47.8703,-121.8036,620
130,Plain,WA,Washington,Chelan,47.7626,-120.6573,10.2
131,Tanner,WA,Washington,King,47.4813,-121.6925,206.5
132,Edmonds,WA,Washington,Snohomish,47.8114,-122.3534,1814
133,North Hill,WA,Washington,King,47.4193,-122.3235,2208.6
134,Zillah,WA,Washington,Yakima,46.4085,-120.273,657
135,Monse,WA,Washington,Okanogan,48.1413,-119.6778,7.9
136,Lake Forest Park,WA,Washington,King,47.7592,-122.2877,1449
137,Marlin,WA,Washington,Grant,47.4074,-118.985,23.8
138,Chinook,WA,Washington,Pacific,46.2755,-123.9425,323.8
139,Albion,WA,Washington,Whitman,46.792,-117.2506,642
140,Skykomish,WA,Washington,King,47.7103,-121.3585,246
141,Yakima,WA,Washington,Yakima,46.5926,-120.5492,1313
142,Pacific,WA,Washington,King,47.261,-122.2507,1141
143,Wishram,WA,Washington,Klickitat,45.6599,-120.9698,106.8
144,Cascade Valley,WA,Washington,Grant,47.1406,-119.3289,576.1
145,Cathcart,WA,Washington,Snohomish,47.8525,-122.1058,214
146,Brush Prairie,WA,Washington,Clark,45.7251,-122.5483,119.5
147,Amboy,WA,Washington,Clark,45.9122,-122.4795,120.2
148,Centerville,WA,Washington,Klickitat,45.754,-120.908,37.3
149,Verlot,WA,Washington,Snohomish,48.1003,-121.7679,27.5
150,Alstown,WA,Washington,Douglas,47.561,-119.9951,1
151,Synarep,WA,Washington,Okanogan,48.521,-119.3309,4.2
152,Annapolis,WA,Washington,Kitsap,47.5476,-122.6207,1582
153,Port Gamble,WA,Washington,Kitsap,47.8543,-122.5838,138.5
154,Eatonville,WA,Washington,Pierce,46.8682,-122.2697,626
155,Similk Beach,WA,Washington,Skagit,48.4479,-122.5779,269.4
156,Cougar,WA,Washington,Cowlitz,46.0515,-122.2995,52.9
157,Eglon,WA,Washington,Kitsap,47.8626,-122.5146,72.7
158,Paterson,WA,Washington,Benton,45.9371,-119.6028,43.3
159,Tenino,WA,Washington,Thurston,46.8538,-122.8603,488
160,Minnehaha,WA,Washington,Clark,45.6576,-122.6204,1002.8
161,Raymond,WA,Washington,Pacific,46.6841,-123.7375,272
162,Alger,WA,Washington,Skagit,48.6176,-122.3369,64.5
163,Roy,WA,Washington,Pierce,46.9971,-122.5424,653
164,Snoqualmie,WA,Washington,King,47.5292,-121.8409,705
165,Fragaria,WA,Washington,Kitsap,47.464,-122.5312,164.3
166,Green Bluff,WA,Washington,Spokane,47.819,-117.277,65.5
167,Woodmont Beach,WA,Washington,King,47.3615,-122.3121,1596.9
168,Frances,WA,Washington,Pacific,46.5423,-123.5049,13.2
169,Lynden,WA,Washington,Whatcom,48.9502,-122.4542,1024
170,Clayton,WA,Washington,Stevens,48.0012,-117.5611,125.4
171,Everson,WA,Washington,Whatcom,48.9124,-122.3509,774
172,White Swan,WA,Washington,Yakima,46.3769,-120.7381,347.5
173,Camano,WA,Washington,Island,48.1866,-122.4707,306.3
174,Cedar Grove,WA,Washington,King,47.4357,-122.0621,107.3
175,Winton,WA,Washington,Chelan,47.7354,-120.7412,16.8
176,East Olympia,WA,Washington,Thurston,46.9676,-122.8357,241.2
177,Sunset Beach,WA,Washington,Pierce,47.2182,-122.5726,698.7
178,Belfair,WA,Washington,Mason,47.4512,-122.8473,257.3
179,Oso,WA,Washington,Snohomish,48.2837,-121.9238,72.7
