id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
0,WESTWOOD,New Jersey,NJ,27300,44.2,2.76,52114,119748,59705
1,WOODCLIFF LAKE,New Jersey,NJ,5868,46.7,2.81,59018,161250,82266
2,WHARTON,New Jersey,NJ,10544,38.9,2.75,38218,79222,35589
3,WHIPPANY,New Jersey,NJ,9060,45.9,2.62,49560,112534,51214
4,WHITEHOUSE STATION,New Jersey,NJ,9359,48.5,2.5,59481,134387,75120
5,WOODBRIDGE,New Jersey,NJ,19511,37.4,2.69,36519,80196,34906
6,WYCKOFF,New Jersey,NJ,17231,44.5,2.88,54797,147463,71211
7,BRONX,New York,NY,1458572,34.99,2.82,23442.44,42134.8,21725
8,NEW YORK,New York,NY,1643736,37,2.1,61913.91,101477.51,80353.47
9,BELMONT,Massachusetts,MA,25940,41.6,2.64,55368,118342,61082
10,BROOKLINE,Massachusetts,MA,50887,34.35,2.31,53303,106992,64490.5
11,LEXINGTON,Massachusetts,MA,33339,45.1,2.8,70267.5,163309.5,74418
12,NEEDHAM,Massachusetts,MA,20128,44.6,2.76,57922,147375,75482
13,NEEDHAM HEIGHTS,Massachusetts,MA,10301,41.5,2.8,55308,126866,61665
14,NEWTON,Massachusetts,MA,12465,42.1,2.49,52967,103978,66281
15,NEWTON CENTER,Massachusetts,MA,19473,42.8,2.63,61966,169963,78776
16,NEWTONVILLE,Massachusetts,MA,9911,40,2.65,60401,118148,61840
17,NEWTON HIGHLANDS,Massachusetts,MA,7214,43.5,2.69,68365,159517,72223
18,NEWTON LOWER FALLS,Massachusetts,MA,1520,51.6,2.29,46528,104375,67438
19,NEWTON UPPER FALLS,Massachusetts,MA,3155,43.3,2.46,49225,102946,50881
20,WEST NEWTON,Massachusetts,MA,12112,43.2,2.77,61689,137438,72185
21,AUBURNDALE,Massachusetts,MA,8568,36.9,2.51,33946,115345,50357
22,CHESTNUT HILL,Massachusetts,MA,22105,23.5,2.39,22175,119964,53414
23,WABAN,Massachusetts,MA,5568,47,2.84,92464,212394,96955
24,WALTHAM,Massachusetts,MA,62812,34.6,2.33,36109,84994.33,39661.33
25,WATERTOWN,Massachusetts,MA,34715,38.4,2.26,48877,92959,50078
27,WELLESLEY HILLS,Massachusetts,MA,16309,36.2,3.01,51852,187819,86459
28,WELLESLEY,Massachusetts,MA,11015,43.5,2.61,61776,160644,81866
29,WESTON,Massachusetts,MA,12027,44.4,2.97,62336,196651,98310
30,BRAINTREE,Massachusetts,MA,37082,41.9,2.61,41985,88993,40501
31,MILTON,Massachusetts,MA,27527,38.7,2.86,45938,126000,52958
32,QUINCY,Massachusetts,MA,93824,40.13,2.34,37935.67,76008.67,39758
33,WEYMOUTH,Massachusetts,MA,15301,39.2,2.39,38476,81040,40154
34,EAST WEYMOUTH,Massachusetts,MA,15146,41.7,2.43,31533,58674,34349
