state,population,median_age,average_household_size,median_income,household_income,household_income
Alabama,9666.58882235529,42.636706586826385,2.608083832335331,23063.835668662676,22796.230758483038,22796.230758483038
Alaska,3555.1739130434785,34.78922705314012,3.1419323671497605,21863.174299516908,23826.48347826087,23826.48347826087
Arizona,28377.345833333333,44.13962499999996,2.793374999999998,23461.479125,22861.774041666667,22861.774041666667
Arkansas,5707.14971209213,43.78483685220727,2.4619961612284067,21817.654856046065,21378.918003838775,21378.918003838775
California,35230.34810126582,42.72471066907779,2.784792043399642,30759.893580470154,33064.5252260398,33064.5252260398
Colorado,14971.520661157025,44.47170798898067,2.478236914600552,30027.790688705238,30220.342589531683,30220.342589531683
Connecticut,15831.04845814978,45.112819383259925,2.5507048458149795,41110.64753303965,45351.55462555066,45351.55462555066
Delaware,19650.125,42.74812500000001,2.665625,32164.337499999998,31246.235416666666,31246.235416666666
District of Columbia,672249.0,33.74,2.14,43140.79,48414.62,48414.62
Florida,46932.16203703704,46.1488425925926,2.589421296296295,26175.054560185177,27901.728310185186,27901.728310185186
Georgia,18051.886725663717,41.172495575221234,2.660601769911503,23833.616637168143,22637.257150442478,22637.257150442478
Hawaii,18387.402597402597,42.17935064935066,3.087662337662338,29625.397922077922,28520.801688311687,28520.801688311687
Idaho,6869.236514522821,43.622531120331935,2.5933609958506225,24408.925684647304,23829.131991701248,23829.131991701248
Illinois,10475.141809290953,42.479934800325985,2.506145069274649,30269.562469437657,29321.56986145069,29321.56986145069
Indiana,10362.405956112852,40.907115987460806,2.5817241379310327,28101.122100313478,25845.573244514108,25845.573244514108
Iowa,3534.8866213151928,43.39853741496598,2.3955555555555574,29982.40447845805,29010.143832199545,29010.143832199545
Kansas,4797.092561983471,43.51677685950406,2.434710743801653,27672.834165289256,27045.90565289256,27045.90565289256
Kentucky,6830.726429675425,42.17768160741887,2.512642967542501,22103.41465224111,21333.139582689335,21333.139582689335
Louisiana,11283.90799031477,39.91111380145278,2.6123002421307513,24317.810847457626,23345.858111380145,23345.858111380145
Maine,3248.9804400977996,48.09022004889973,2.3355745721271397,26275.749388753055,28981.55501222494,28981.55501222494
Maryland,15853.9708994709,43.494100529100514,2.6825396825396823,39317.599021164024,40149.533994708996,40149.533994708996
Massachusetts,15211.652466367714,44.718004484304934,2.526659192825113,38667.542757847536,42187.33098654709,42187.33098654709
Michigan,12073.285888077859,45.06233576642333,2.454160583941606,26651.354014598535,27107.036423357666,27107.036423357666
Minnesota,7128.407792207792,43.534597402597385,2.4398441558441526,30423.453025974024,30123.92068831169,30123.92068831169
Mississippi,7954.616,39.26048000000001,2.639066666666667,20875.335173333333,19768.30816,19768.30816
Missouri,7069.1187427240975,43.169755529685695,2.5426658905704307,24512.995483119907,23590.045005820717,23590.045005820717
Montana,3067.7671641791044,46.78250746268653,2.4238805970149255,26022.77402985075,27844.10588059701,27844.10588059701
Nebraska,3690.495126705653,44.739434697855714,2.3724561403508764,28836.105808966862,29187.78528265107,29187.78528265107
Nevada,35182.31707317073,45.774756097560974,2.4453658536585365,30984.19512195122,30853.637560975607,30853.637560975607
New Hampshire,5687.461538461538,46.82837606837607,2.4357264957264957,33932.50717948718,36861.04585470086,36861.04585470086
New Jersey,17318.16247582205,43.01063829787233,2.7058607350096757,41200.70943907157,44053.55860735009,44053.55860735009
New Mexico,7566.941605839416,44.375145985401474,2.771715328467153,21944.326605839415,21395.39127737226,21395.39127737226
New York,13751.901320361361,44.050020847811,2.5664836692147324,32571.218095899927,33623.17904794996,33623.17904794996
North Carolina,15088.256756756757,43.39292792792791,2.4859159159159163,24690.44741741742,24806.252687687684,24806.252687687684
North Dakota,2082.7703081232494,45.12661064425767,2.3442296918767522,33672.88703081232,35321.2850140056,35321.2850140056
Ohio,12155.12670157068,41.701937172774876,2.5664502617801057,27867.52338219895,26417.99610471205,26417.99610471205
Oklahoma,7096.233151183971,41.324389799635675,2.584207650273225,24505.127759562838,23541.46806921676,23541.46806921676
Oregon,11731.708454810496,47.334344023323624,2.4489795918367374,25407.27148688047,26762.34658892128,26762.34658892128
Pennsylvania,8250.49257585539,44.23502905100067,2.475274370561651,28497.719935442226,28670.043053582955,28670.043053582955
Rhode Island,16761.238095238095,44.26730158730158,2.4607936507936503,35403.18126984127,38121.607777777775,38121.607777777775
South Carolina,14430.834808259588,42.270560471976395,2.5483185840707976,22931.297433628322,22923.138171091447,22923.138171091447
South Dakota,2494.277777777778,41.70295321637429,2.5591812865497094,28497.978684210528,28522.574064327484,28522.574064327484
Tennessee,13066.938492063493,43.39226190476185,2.517380952380951,23394.13912698413,23512.564325396826,23512.564325396826
Texas,21311.017884914465,40.985987558320424,2.774704510108865,26596.196632970456,26144.003833592542,26144.003833592542
Utah,12674.042372881357,36.413389830508464,3.138855932203391,27036.204957627117,24582.92152542373,24582.92152542373
Vermont,2546.0530612244897,46.47008163265308,2.3338367346938793,29540.436734693878,31482.21632653061,31482.21632653061
Virginia,12298.827687776142,45.22873343151696,2.4960382916053017,29078.47721649485,29256.397805596465,29256.397805596465
Washington,16667.734883720932,44.242953488372095,2.558488372093019,29365.690418604652,29303.322441860466,29303.322441860466
West Virginia,2931.127009646302,45.43101286173635,2.461752411575562,22613.441430868166,21654.381012861737,21654.381012861737
Wisconsin,8339.523878437049,44.33729377713457,2.4142257597684478,29635.494312590454,29193.74781476122,29193.74781476122
Wyoming,4228.313868613139,43.11985401459853,2.5144525547445253,31191.23722627737,29697.371021897812,29697.371021897812
